time,latitude,longitude,depth,mag,magType,place
2022-03-13T21:48:25.124Z,14.0939,119.3821,10,4.9,mb,"75 km WNW of Cabra, Philippines"
2022-03-14T09:20:39.940Z,14.0864,119.4371,10,4.9,mb,"69 km WNW of Cabra, Philippines"
2022-03-14T01:07:06.639Z,14.1923,119.3318,10,4.9,mb,"84 km WNW of Cabra, Philippines"
2022-03-11T14:14:23.541Z,7.8962,125.9281,24.68,4.9,mww,"14 km WNW of Baylo, Philippines"
2022-02-11T14:25:19.513Z,5.8987,124.5212,81.46,4.9,mb,"14 km SSW of Nalus, Philippines"
2022-02-03T04:47:13.554Z,19.9104,121.5724,49.6,4.9,mb,"72 km SW of Basco, Philippines"
2022-01-22T22:07:17.910Z,13.7305,120.8305,137.76,4.9,mb,"6 km WNW of Bagalangit, Philippines"
2021-12-26T00:12:06.715Z,16.1101,119.4327,10,4.9,mb,"37 km W of Aloleng, Philippines"
2021-12-21T04:08:12.200Z,12.7482,120.9691,10,4.9,mb,"12 km NE of Ligaya, Philippines"
2021-12-17T14:28:55.401Z,12.8084,123.5688,10,4.9,mb,"11 km SSW of Donsol, Philippines"
2021-12-09T12:44:57.811Z,10.0219,126.1289,35,4.9,mb,"9 km E of Santa Monica, Philippines"
2021-11-23T08:09:42.919Z,9.0375,126.4317,57.2,4.9,mb,"19 km ENE of La Paz, Philippines"
2021-10-15T16:54:48.484Z,8.8157,126.2651,67.98,4.9,mb,"3 km WNW of Marihatag, Philippines"
2021-09-21T16:43:08.724Z,13.3406,120.6662,80.72,4.9,mb,"0 km NE of Cabacao, Philippines"
2021-07-25T22:27:31.911Z,6.5024,126.4284,73.08,4.9,mb,"31 km ENE of Pondaguitan, Philippines"
2021-08-14T10:30:41.952Z,9.8416,125.9073,67.63,4.9,mb,"7 km WSW of Del Carmen, Surigao del Norte, Philippines"
2021-08-04T16:56:45.334Z,5.0473,125.2793,38.99,4.9,mb,"44 km SSW of Sarangani, Philippines"
2021-07-10T18:45:19.834Z,6.3799,124.0361,77.49,4.9,mb,"7 km S of Sangay, Philippines"
2021-06-16T00:14:02.600Z,10.1732,126.0078,23.6,4.9,mb,"17 km N of Santa Monica, Philippines"
2021-06-26T04:16:45.123Z,6.0644,126.5176,82.15,4.9,mb,"49 km SE of Pondaguitan, Philippines"
2021-06-10T02:42:25.419Z,5.8647,126.2193,67.08,4.9,mb,"55 km S of Pondaguitan, Philippines"
2021-06-06T08:03:25.537Z,10.1888,126.2622,57.25,4.9,mww,"30 km NE of Santa Monica, Philippines"
2021-06-06T03:21:02.356Z,10.2164,126.2052,57.12,4.9,mb,"28 km NE of Santa Monica, Philippines"
2021-06-03T02:31:34.719Z,4.8267,125.9732,76.85,4.9,mb,"85 km SE of Sarangani, Philippines"
2021-04-14T11:09:34.240Z,10.0362,126.3367,35,4.9,mb,"32 km NE of Pilar, Philippines"
2021-03-11T13:27:06.308Z,15.6142,119.4235,10,4.9,mb,"50 km WSW of Bolitoc, Philippines"
2021-03-10T08:49:38.950Z,6.2962,120.1318,10,4.9,mb,"48 km W of Pandan Niog, Philippines"
2021-02-12T03:37:35.271Z,19.1479,121.2439,40.93,4.9,mb,"60 km N of Namuac, Philippines"
2021-02-09T02:51:14.256Z,19.0902,121.2522,35,4.9,mb,"53 km N of Namuac, Philippines"
2021-02-06T23:28:52.821Z,6.7385,125.0751,17.65,4.9,mb,"12 km WSW of Magsaysay, Philippines"
2021-01-31T00:34:14.635Z,9.0919,126.5574,18.17,4.9,mb,"34 km ENE of Bacolod, Philippines"
2021-01-20T06:53:09.510Z,10.5061,125.5427,60.49,4.9,mb,"16 km NNW of Loreto, Philippines"
2020-12-22T01:19:58.532Z,5.2168,125.2675,53.32,4.9,mb,"29 km SW of Sarangani, Philippines"
2020-12-21T18:14:47.611Z,14.7716,121.6318,37.94,4.9,mb,"0 km NNW of General Nakar, Philippines"
2020-12-17T12:38:55.235Z,5.1239,125.3912,62.35,4.9,mb,"31 km SSW of Sarangani, Philippines"
2020-11-29T20:23:49.359Z,12.0949,124.2898,10,4.9,mb,"16 km SW of Piña, Philippines"
2020-11-11T15:40:43.217Z,5.3981,126.4416,39.65,4.9,mww,"105 km ESE of Caburan, Philippines"
2023-09-03T21:40:53.617Z,8.7962,122.4767,10,4.8,mb,"60 km WSW of Cabangahan, Philippines"
2023-08-19T06:34:36.212Z,8.9217,126.292,69.143,4.8,mb,"1 km SSE of Bacolod, Philippines"
2023-07-03T10:20:25.701Z,5.8358,124.3778,35,4.8,mb,"26 km SSW of Maitum, Philippines"
2023-06-13T12:57:51.547Z,13.9338,119.9211,35,4.8,mb,"14 km WNW of Cabra, Philippines"
2023-05-20T00:40:24.348Z,12.3224,121.7867,35,4.8,mb,"23 km WNW of Looc, Philippines"
2023-05-04T05:56:10.060Z,17.5056,122.3053,10.461,4.8,mb,"48 km NNW of Dicabisagan, Philippines"
2023-03-27T00:44:51.205Z,5.344,125.6996,72.223,4.8,mb,"26 km ESE of Sarangani, Philippines"
2023-03-22T04:28:14.543Z,6.7301,126.1069,67.755,4.8,mb,"1 km NNE of Talisay, Philippines"
2023-03-16T04:21:25.176Z,15.5309,120.1231,58.019,4.8,mb,"17 km ENE of San Lorenzo, Philippines"
2023-03-06T15:53:02.685Z,5.774,125.911,151.146,4.8,mb,"33 km ESE of Caburan, Philippines"
2023-02-13T07:57:48.596Z,9.8043,126.4278,35,4.8,mb,"35 km E of Union, Philippines"
2023-02-07T13:46:56.948Z,14.3575,122.9823,10,4.8,mb,"Luzon, Philippines"
2023-01-15T12:28:15.160Z,11.4179,124.6414,10,4.8,mb,"9 km SE of Bunga, Philippines"
2022-12-09T08:28:50.605Z,20.0284,121.2103,36.897,4.8,mb,"92 km WSW of Basco, Philippines"
2022-12-05T23:55:00.263Z,7.7362,124.7364,10.718,4.8,mb,"Mindanao, Philippines"
2022-11-23T04:04:52.265Z,5.942,126.1256,93.598,4.8,mb,"46 km S of Pondaguitan, Philippines"
2022-10-25T21:39:28.123Z,17.7907,120.8663,29.034,4.8,mb,"22 km NE of Dolores, Philippines"
